county_name,age_female_0_to_9_prct,age_female_10_to_19_prct,age_female_20_to_29_prct,age_female_30_to_39_prct,age_female_40_to_49_prct,age_female_50_to_59_prct,age_female_60_to_69_prct,age_female_70_plus_prct,age_male_0_to_9_prct,age_male_10_to_19_prct,age_male_20_to_29_prct,age_male_30_to_39_prct,age_male_40_to_49_prct,age_male_50_to_59_prct,age_male_60_to_69_prct,age_male_70_plus_prct,median_Age
San Mateo,0.056,0.055,0.060,0.074,0.070,0.070,0.059,0.062,0.060,0.056,0.066,0.077,0.069,0.067,0.054,0.045,39.7
Santa Barbara,0.060,0.074,0.086,0.056,0.054,0.058,0.052,0.058,0.065,0.072,0.095,0.063,0.056,0.057,0.047,0.046,33.8
Santa Clara,0.059,0.061,0.066,0.074,0.070,0.065,0.049,0.051,0.063,0.063,0.076,0.081,0.072,0.066,0.047,0.039,37.1
Santa Cruz,0.051,0.070,0.079,0.058,0.059,0.068,0.064,0.055,0.053,0.069,0.084,0.058,0.060,0.064,0.062,0.044,37.8
Shasta,0.058,0.057,0.060,0.061,0.054,0.071,0.072,0.075,0.062,0.060,0.063,0.063,0.049,0.066,0.068,0.060,41.5
Sierra,0.033,0.043,0.031,0.051,0.035,0.105,0.076,0.091,0.057,0.040,0.039,0.066,0.055,0.095,0.106,0.076,54.8
Siskiyou,0.062,0.046,0.045,0.050,0.049,0.078,0.087,0.083,0.058,0.058,0.051,0.051,0.054,0.065,0.080,0.081,47.8
Solano,0.060,0.060,0.067,0.067,0.060,0.069,0.063,0.057,0.062,0.064,0.075,0.070,0.061,0.066,0.058,0.041,38.1
Sonoma,0.051,0.058,0.060,0.063,0.061,0.073,0.076,0.069,0.054,0.059,0.063,0.064,0.062,0.066,0.067,0.052,42.1
Stanislaus,0.074,0.073,0.071,0.067,0.061,0.062,0.048,0.050,0.073,0.079,0.073,0.067,0.062,0.060,0.044,0.036,34.1
Sutter,0.069,0.068,0.066,0.066,0.059,0.060,0.055,0.059,0.073,0.074,0.070,0.065,0.058,0.059,0.054,0.044,35.7
Tehama,0.058,0.068,0.058,0.052,0.058,0.067,0.076,0.066,0.065,0.067,0.062,0.058,0.055,0.068,0.059,0.063,41
Trinity,0.049,0.039,0.029,0.060,0.050,0.081,0.091,0.086,0.048,0.056,0.043,0.041,0.057,0.071,0.110,0.089,52.5
Tulare,0.084,0.082,0.071,0.067,0.057,0.054,0.043,0.042,0.088,0.086,0.074,0.068,0.058,0.052,0.041,0.032,31
Tuolumne,0.044,0.045,0.047,0.050,0.046,0.067,0.084,0.095,0.049,0.046,0.065,0.065,0.060,0.068,0.087,0.079,48.4
Ventura,0.060,0.068,0.067,0.062,0.065,0.070,0.058,0.057,0.062,0.069,0.071,0.065,0.063,0.069,0.052,0.044,38.1
Yolo,0.056,0.082,0.110,0.061,0.057,0.055,0.047,0.047,0.058,0.076,0.104,0.065,0.051,0.054,0.041,0.035,31
Yuba,0.080,0.063,0.072,0.072,0.053,0.056,0.056,0.038,0.081,0.076,0.084,0.072,0.055,0.056,0.050,0.036,32.8
