county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,hhi_total_prct,hhi_lt_25k_prct,hhi_25k_to_49k_prct,hhi_50k_to_749k_prct,hhi_75k_to_999k_prct,hhi_100k_to_1490k_prct,hhi_150k_to_1999k_prct,hhi_200k_or_more_prct,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,age_female_0_to_9_prct,age_female_10_to_19_prct,age_female_20_to_29_prct,age_female_30_to_39_prct,age_female_40_to_49_prct,age_female_50_to_59_prct,age_female_60_to_69_prct,age_female_70_plus_prct,age_male_0_to_9_prct,age_male_10_to_19_prct,age_male_20_to_29_prct,age_male_30_to_39_prct,age_male_40_to_49_prct,age_male_50_to_59_prct,age_male_60_to_69_prct,age_male_70_plus_prct,median_Age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,
Glenn,3403160291,27976,21.3,49633,10085,2760,2317,1940,1191,1328,277,272,0.360487561,0.098655991,0.082820989,0.069345153,0.042572205,0.047469259,0.009901344,0.009722619,14398,0.514655419,193,0.00689877,391,0.013976265,825,0.029489562,11,0.000393194,0,0,478,0.017086074,11680,0.417500715,1671,2193,1705,1781,1477,1542,1909,1480,2154,2205,1846,1751,1565,1744,1683,1270,0.060,0.078,0.061,0.064,0.053,0.055,0.068,0.053,0.077,0.079,0.066,0.063,0.056,0.062,0.060,0.045,36.4,17951,0.252,0.272,0.334,0.109,0.032,7390,0.146,11914,0.053,11008,233200,10085,7390,5575,2497,1815,803,2695,
Humboldt,9241426488,135940,38.1,48041,54679,14425,13808,9350,6372,6224,2283,2217,0.402228925,0.106112991,0.101574224,0.068780344,0.046873621,0.045784905,0.016794174,0.016308666,101078,0.743548624,1336,0.009827865,6264,0.046079153,4073,0.029961748,432,0.003177873,177,0.001302045,6858,0.050448727,15722,0.115653965,7347,7936,11144,8505,7438,8488,9238,8268,7315,8211,11153,9020,8410,7949,8602,6916,0.054,0.058,0.082,0.063,0.055,0.062,0.068,0.061,0.054,0.060,0.082,0.066,0.062,0.058,0.063,0.051,38.4,92463,0.095,0.222,0.379,0.203,0.101,30179,0.105,67283,0.078,63089,313200,54679,30179,20959,7429,9220,5151,24500,
Imperial,10814594615,180701,43.3,47622,44829,13376,10138,6956,5389,5842,1820,1308,0.248083851,0.074022833,0.056103729,0.03849453,0.029822746,0.03232965,0.010071887,0.007238477,19228,0.106407823,3882,0.021483002,1104,0.00610954,2367,0.013098987,240,0.001328161,114,0.000630876,1594,0.008821202,152172,0.842120409,13824,14102,12053,10585,10126,9751,8957,8551,14613,14584,15345,13484,10657,9787,7594,6688,0.077,0.078,0.067,0.059,0.056,0.054,0.050,0.047,0.081,0.081,0.085,0.075,0.059,0.054,0.042,0.037,32.4,110125,0.303,0.243,0.302,0.106,0.046,34147,0.205,69998,0.142,57690,195800,44829,34147,22355,9880,11792,5217,10682,
Inyo,26410680788,17977,1.8,57316,7950,1394,2122,1673,993,1170,342,256,0.442231741,0.077543528,0.118039717,0.093063359,0.055237248,0.065083162,0.019024309,0.014240418,11173,0.621516382,141,0.007843355,1828,0.101685487,325,0.018078656,34,0.001891306,35,0.001946932,421,0.023418813,4020,0.223619069,1111,748,747,1044,1090,1268,1495,1412,997,1158,760,953,1139,1301,1481,1273,0.062,0.042,0.042,0.058,0.061,0.071,0.083,0.079,0.055,0.064,0.042,0.053,0.063,0.072,0.082,0.071,45.8,13204,0.114,0.286,0.328,0.167,0.105,4296,0.076,8593,0.041,9572,269100,7950,4296,3307,988,989,408,3654,
Kern,21062540828,887641,109.2,53350,270282,62131,65075,47864,30874,36370,16048,11920,0.304494723,0.06999564,0.073312296,0.053922701,0.03478208,0.040973772,0.018079381,0.013428852,303225,0.3416077,45761,0.0515535,4303,0.004847681,40730,0.045885668,1115,0.001256138,873,0.000983506,18260,0.02057138,473374,0.533294429,69995,68529,64186,58107,49804,48799,39038,34340,71688,72450,75031,66277,54368,50321,37260,27448,0.079,0.077,0.072,0.065,0.056,0.055,0.044,0.039,0.081,0.082,0.085,0.075,0.061,0.057,0.042,0.031,31.6,537799,0.259,0.278,0.299,0.11,0.054,200426,0.172,380904,0.098,298117,213900,270282,200426,137205,67608,63221,35021,69856,
Kings,3600883803,150691,108.4,57848,43452,8238,10743,8693,5964,6065,2126,1623,0.28835166,0.054668162,0.071291583,0.057687586,0.039577679,0.040247925,0.014108341,0.010770384,48537,0.32209621,8779,0.05825829,1282,0.008507476,5565,0.036929876,241,0.001599299,239,0.001586027,3932,0.026093131,82116,0.544929691,11609,10420,10518,9312,7495,7026,5633,5683,11433,11618,15496,13973,11073,9246,5701,4455,0.077,0.069,0.070,0.062,0.050,0.047,0.037,0.038,0.076,0.077,0.103,0.093,0.073,0.061,0.038,0.030,31.8,92916,0.266,0.253,0.334,0.101,0.045,33431,0.146,58904,0.076,46181,215900,43452,33431,22538,11921,10893,6359,10021,
Lake,3254349190,64195,51.1,47040,25660,6551,7218,3978,3126,2779,1175,833,0.399719604,0.102048446,0.112438663,0.061967443,0.048695381,0.043289976,0.018303606,0.012976088,45258,0.705008178,1331,0.020733702,1926,0.030002337,684,0.010655035,42,0.000654257,111,0.001729107,1619,0.025220033,13224,0.205997352,3733,3637,3023,3674,3293,4729,5686,4555,3720,3682,3453,3803,3205,4377,5159,4466,0.058,0.057,0.047,0.057,0.051,0.074,0.089,0.071,0.058,0.057,0.054,0.059,0.050,0.068,0.080,0.070,45.6,46426,0.142,0.305,0.397,0.1,0.055,15203,0.141,26631,0.087,34845,219400,25660,15203,10867,3508,4336,2275,10457,
Lassen,11761615584,30818,6.8,56352,9280,1858,2140,1926,1135,1403,539,279,0.30112272,0.060289441,0.069439938,0.062495944,0.036829126,0.045525342,0.017489779,0.009053151,20164,0.654292946,2612,0.084755662,844,0.027386592,427,0.013855539,247,0.008014797,45,0.001460186,635,0.020604841,5844,0.189629437,1230,1123,1126,1233,1068,1655,1612,1439,1330,1549,5345,4130,2633,2131,1850,1364,0.040,0.036,0.037,0.040,0.035,0.054,0.052,0.047,0.043,0.050,0.173,0.134,0.085,0.069,0.060,0.044,36.6,22615,0.168,0.345,0.357,0.092,0.037,6168,0.1,9209,0.065,12783,203000,9280,6168,4887,1474,1281,648,3112,
Los Angeles,10511861492,10081570,2484,68044,3316795,621622,639146,526618,408135,524129,258815,338330,0.328995881,0.061659246,0.063397467,0.052235713,0.040483278,0.051988827,0.025672093,0.033559257,2641770,0.262039543,790252,0.078385807,20831,0.002066246,1454769,0.144299846,24597,0.002439799,32413,0.003215075,228504,0.022665517,4888434,0.484888167,588888,622488,771881,729163,685962,662234,530018,521554,619082,646525,793576,753467,674761,634841,474291,372839,0.058,0.062,0.077,0.072,0.068,0.066,0.053,0.052,0.061,0.064,0.079,0.075,0.067,0.063,0.047,0.037,36.5,6886895,0.209,0.206,0.26,0.212,0.113,2210939,0.112,5249298,0.061,3542800,583200,3316795,2210939,1495658,639936,715281,297954,1105856,
Madera,5534617472,155433,72.7,57585,44881,8629,11399,8073,5813,6954,2202,1811,0.288748207,0.055515881,0.073337065,0.051938777,0.037398751,0.044739534,0.014166876,0.011651322,53053,0.341323914,4770,0.030688464,1546,0.009946408,3020,0.019429593,141,0.000907143,250,0.00160841,2855,0.018368043,89798,0.577728024,11982,11096,11499,10834,9979,9517,8041,7513,11935,12017,10528,9176,8806,8251,7311,6948,0.077,0.071,0.074,0.070,0.064,0.061,0.052,0.048,0.077,0.077,0.068,0.059,0.057,0.053,0.047,0.045,34.1,97527,0.281,0.249,0.325,0.102,0.044,35233,0.158,63822,0.087,50677,251200,44881,35233,26146,11230,9087,5273,9648,
