State,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population
Michigan,9922576,7486419,1363082,485972,292298,46056,3235,15331,39.7,3858532,137500,51084,51084,1529645,652090
Minnesota,5489594,4441640,313157,282040,257059,50234,1520,6325,37.9,2147262,200000,63488,63488,546431,457185
Mississippi,2992333,1705044,1126326,85758,30540,11359,737,1686,37,1104371,112700,40593,40593,637128,72258
Missouri,6083672,4858768,704787,240413,113912,22726,5522,4647,38.4,2374180,147800,50238,50238,875495,242761
Montana,1032949,894545,4289,37302,8643,62709,1034,141,39.9,414804,209500,49509,49509,147287,21356
Nebraska,1896190,1518020,88318,196968,39535,14620,826,2254,36.1,744159,141600,54996,54996,231321,128390
Nevada,2890845,1460688,236568,813394,228306,24442,16224,6922,37.8,1042065,221400,52431,52431,418243,558170
New Hampshire,1330608,1210017,18495,44355,33774,1169,254,1204,42.8,517615,244500,70303,70303,106046,79959
New Jersey,8958013,5020807,1134226,1762179,842221,7968,2707,32153,39.6,3187963,322600,72222,72222,946114,1977325
New Mexico,2085109,798109,41597,1001264,27542,177529,859,3593,37.4,761797,164100,45382,45382,417834,196955
New York,19795791,11050851,2845960,3725193,1659534,40131,5162,111653,38.3,7233694,293500,60850,60850,2970032,4530087
North Carolina,10042802,6387868,2141818,911674,266004,109502,2967,22054,38.4,3843745,160100,47830,47830,1607835,794684
North Dakota,756928,650304,15387,26059,9696,36789,445,434,34.9,313475,180900,60557,60557,80170,28649
Ohio,11613423,9255663,1409506,411202,231436,15744,3920,14978,39.3,4606655,136400,51075,51075,1674415,503911
Oklahoma,3911338,2597511,280826,396464,77928,273042,3285,5125,36.3,1465951,126800,48568,48568,610828,235350
Oregon,4028977,3082611,73428,511898,162545,37993,13359,3090,39.1,1553205,264100,54148,54148,607029,397293
Pennsylvania,12802503,9890644,1349101,870209,416992,12314,2403,21208,40.7,4956037,170600,55702,55702,1629995,837159
Rhode Island,1056298,775163,57364,152085,35120,3342,211,6679,39.7,407484,241000,58073,58073,141035,142324
South Carolina,4896146,3119807,1331987,262555,70215,12190,3109,6193,39,1857768,148600,47238,47238,790715,232749
South Dakota,858469,710681,12807,30079,11901,68201,712,1723,36.9,339437,152800,53017,53017,114071,27845
Tennessee,6600299,4899807,1100868,333460,106375,17603,2735,11869,38.7,2530260,150600,47275,47275,1077900,331570
Texas,27469114,11795062,3209454,10672216,1236884,66303,18211,36412,34.4,9421412,152000,55653,55653,4255517,4671295
Utah,2995919,2364160,32498,409310,68148,29584,23628,2781,30.6,930980,234600,62912,62912,331854,244467
Vermont,626042,584851,7694,10422,8627,2277,282,950,43.1,254865,223700,56990,56990,61314,28247
Virginia,8382993,5239479,1583049,753353,519910,16415,5057,23466,37.8,3106895,257800,66262,66262,909346,1018626
Washington,7170351,4996873,253220,886419,563704,82481,45576,9933,37.5,2728573,284000,64129,64129,857801,980158
West Virginia,1844128,1702065,69610,26663,14078,2076,479,1489,42.2,734536,112100,42019,42019,321583,29522
Wisconsin,5771337,4721683,357021,381149,154713,47345,1396,4447,39.4,2319538,168300,55638,55638,677964,278981
Wyoming,586107,492659,4704,57845,4885,12140,237,96,36.5,228937,212500,60214,60214,63425,21999
