county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
Glenn,"3,403,160,291","27,976",21.3,"$49,633","10,085","2,760","2,317","1,940","1,191","1,328",277,272,"14,398",0.51,193,0.01,391,0.01,825,0.03,11,0.00,0,0.00,478,0.02,"11,680",0.42,"1,671","2,193","1,705","1,781","1,477","1,542","1,909","1,480","2,154","2,205","1,846","1,751","1,565","1,744","1,683","1,270",36.4,"17,951",25.2%,27.2%,33.4%,10.9%,3.2%,"7,390",14.6%,"11,914",5.3%,"11,008","$233,200","10,085","7,390","5,575","2,497","1,815",803,"2,695"
Humboldt,"9,241,426,488","135,940",38.1,"$48,041","54,679","14,425","13,808","9,350","6,372","6,224","2,283","2,217","101,078",0.74,"1,336",0.01,"6,264",0.05,"4,073",0.03,432,0.00,177,0.00,"6,858",0.05,"15,722",0.12,"7,347","7,936","11,144","8,505","7,438","8,488","9,238","8,268","7,315","8,211","11,153","9,020","8,410","7,949","8,602","6,916",38.4,"92,463",9.5%,22.2%,37.9%,20.3%,10.1%,"30,179",10.5%,"67,283",7.8%,"63,089","$313,200","54,679","30,179","20,959","7,429","9,220","5,151","24,500"
Imperial,"10,814,594,615","180,701",43.3,"$47,622","44,829","13,376","10,138","6,956","5,389","5,842","1,820","1,308","19,228",0.11,"3,882",0.02,"1,104",0.01,"2,367",0.01,240,0.00,114,0.00,"1,594",0.01,"152,172",0.84,"13,824","14,102","12,053","10,585","10,126","9,751","8,957","8,551","14,613","14,584","15,345","13,484","10,657","9,787","7,594","6,688",32.4,"110,125",30.3%,24.3%,30.2%,10.6%,4.6%,"34,147",20.5%,"69,998",14.2%,"57,690","$195,800","44,829","34,147","22,355","9,880","11,792","5,217","10,682"
Inyo,"26,410,680,788","17,977",1.8,"$57,316","7,950","1,394","2,122","1,673",993,"1,170",342,256,"11,173",0.62,141,0.01,"1,828",0.10,325,0.02,34,0.00,35,0.00,421,0.02,"4,020",0.22,"1,111",748,747,"1,044","1,090","1,268","1,495","1,412",997,"1,158",760,953,"1,139","1,301","1,481","1,273",45.8,"13,204",11.4%,28.6%,32.8%,16.7%,10.5%,"4,296",7.6%,"8,593",4.1%,"9,572","$269,100","7,950","4,296","3,307",988,989,408,"3,654"
Kern,"21,062,540,828","887,641",109.2,"$53,350","270,282","62,131","65,075","47,864","30,874","36,370","16,048","11,920","303,225",0.34,"45,761",0.05,"4,303",0.00,"40,730",0.05,"1,115",0.00,873,0.00,"18,260",0.02,"473,374",0.53,"69,995","68,529","64,186","58,107","49,804","48,799","39,038","34,340","71,688","72,450","75,031","66,277","54,368","50,321","37,260","27,448",31.6,"537,799",25.9%,27.8%,29.9%,11.0%,5.4%,"200,426",17.2%,"380,904",9.8%,"298,117","$213,900","270,282","200,426","137,205","67,608","63,221","35,021","69,856"
Kings,"3,600,883,803","150,691",108.4,"$57,848","43,452","8,238","10,743","8,693","5,964","6,065","2,126","1,623","48,537",0.32,"8,779",0.06,"1,282",0.01,"5,565",0.04,241,0.00,239,0.00,"3,932",0.03,"82,116",0.54,"11,609","10,420","10,518","9,312","7,495","7,026","5,633","5,683","11,433","11,618","15,496","13,973","11,073","9,246","5,701","4,455",31.8,"92,916",26.6%,25.3%,33.4%,10.1%,4.5%,"33,431",14.6%,"58,904",7.6%,"46,181","$215,900","43,452","33,431","22,538","11,921","10,893","6,359","10,021"
Lake,"3,254,349,190","64,195",51.1,"$47,040","25,660","6,551","7,218","3,978","3,126","2,779","1,175",833,"45,258",0.71,"1,331",0.02,"1,926",0.03,684,0.01,42,0.00,111,0.00,"1,619",0.03,"13,224",0.21,"3,733","3,637","3,023","3,674","3,293","4,729","5,686","4,555","3,720","3,682","3,453","3,803","3,205","4,377","5,159","4,466",45.6,"46,426",14.2%,30.5%,39.7%,10.0%,5.5%,"15,203",14.1%,"26,631",8.7%,"34,845","$219,400","25,660","15,203","10,867","3,508","4,336","2,275","10,457"
Lassen,"11,761,615,584","30,818",6.8,"$56,352","9,280","1,858","2,140","1,926","1,135","1,403",539,279,"20,164",0.65,"2,612",0.08,844,0.03,427,0.01,247,0.01,45,0.00,635,0.02,"5,844",0.19,"1,230","1,123","1,126","1,233","1,068","1,655","1,612","1,439","1,330","1,549","5,345","4,130","2,633","2,131","1,850","1,364",36.6,"22,615",16.8%,34.5%,35.7%,9.2%,3.7%,"6,168",10.0%,"9,209",6.5%,"12,783","$203,000","9,280","6,168","4,887","1,474","1,281",648,"3,112"
Los Angeles,"10,511,861,492","10,081,570","2,484.0","$68,044","3,316,795","621,622","639,146","526,618","408,135","524,129","258,815","338,330","2,641,770",0.26,"790,252",0.08,"20,831",0.00,"1,454,769",0.14,"24,597",0.00,"32,413",0.00,"228,504",0.02,"4,888,434",0.48,"588,888","622,488","771,881","729,163","685,962","662,234","530,018","521,554","619,082","646,525","793,576","753,467","674,761","634,841","474,291","372,839",36.5,"6,886,895",20.9%,20.6%,26.0%,21.2%,11.3%,"2,210,939",11.2%,"5,249,298",6.1%,"3,542,800","$583,200","3,316,795","2,210,939","1,495,658","639,936","715,281","297,954","1,105,856"
Madera,"5,534,617,472","155,433",72.7,"$57,585","44,881","8,629","11,399","8,073","5,813","6,954","2,202","1,811","53,053",0.34,"4,770",0.03,"1,546",0.01,"3,020",0.02,141,0.00,250,0.00,"2,855",0.02,"89,798",0.58,"11,982","11,096","11,499","10,834","9,979","9,517","8,041","7,513","11,935","12,017","10,528","9,176","8,806","8,251","7,311","6,948",34.1,"97,527",28.1%,24.9%,32.5%,10.2%,4.4%,"35,233",15.8%,"63,822",8.7%,"50,677","$251,200","44,881","35,233","26,146","11,230","9,087","5,273","9,648"
Marin,"1,347,950,152","259,943",499.5,"$115,246","105,432","11,256","13,121","11,822","10,462","17,510","11,842","29,419","184,960",0.71,"5,527",0.02,438,0.00,"15,110",0.06,249,0.00,"2,345",0.01,"9,787",0.04,"41,527",0.16,"13,430","15,070","10,446","12,602","18,895","21,096","20,013","21,435","13,010","16,329","11,765","13,625","18,363","19,486","17,522","16,856",46.8,"190,403",6.7%,10.5%,23.3%,34.3%,25.2%,"66,052",3.8%,"135,786",3.7%,"113,084","$995,800","105,432","66,052","54,174","22,241","11,878","6,387","39,380"
